parameters,score,avg_similarity,density
"max_f=500, ngram=(1, 1), min_df=1",0.06390432864673445,0.04095845312628732,0.11744470486111111
"max_f=500, ngram=(1, 1), min_df=3",0.06387115552268317,0.040943391818118825,0.11736927083333333
"max_f=500, ngram=(1, 1), min_df=5",0.06390331011157302,0.040955956409390024,0.11744713541666667
"max_f=500, ngram=(1, 2), min_df=1",0.06736897535285985,0.04216077580170454,0.12618810763888888
"max_f=500, ngram=(1, 2), min_df=3",0.06737873765955572,0.042167021061270085,0.1262060763888889
"max_f=500, ngram=(1, 2), min_df=5",0.0672547694183783,0.04210785512149282,0.12593090277777777
"max_f=2000, ngram=(1, 1), min_df=1",0.024403529652416853,0.022260176289166936,0.0294046875
"max_f=2000, ngram=(1, 1), min_df=3",0.024413716243596822,0.02226684165751927,0.02942309027777778
"max_f=2000, ngram=(1, 1), min_df=5",0.02439673308587778,0.022256493694111118,0.029390625
"max_f=2000, ngram=(1, 2), min_df=1",0.025969390283168206,0.022853853678335537,0.03323897569444444
"max_f=2000, ngram=(1, 2), min_df=3",0.025958417992512296,0.022845693858350898,0.033221440972222224
"max_f=2000, ngram=(1, 2), min_df=5",0.025960528613501035,0.022846365281191952,0.033226909722222225
"max_f=5000, ngram=(1, 1), min_df=1",0.014442327509411096,0.015699269953920614,0.011509461805555555
"max_f=5000, ngram=(1, 1), min_df=3",0.014455199218857726,0.015716542038844372,0.011512065972222223
"max_f=5000, ngram=(1, 1), min_df=5",0.014615527260054956,0.015862062752459462,0.011706944444444445
"max_f=5000, ngram=(1, 2), min_df=1",0.015086817540920155,0.01589456077274308,0.013202083333333333
"max_f=5000, ngram=(1, 2), min_df=3",0.01510395668703008,0.01590967026718583,0.013223958333333334
"max_f=5000, ngram=(1, 2), min_df=5",0.015163425354876834,0.01596482639982405,0.013293489583333333
