,count,unique,top,freq,mean,std,min,25%,50%,75%,max
0,4803.0,,,,29045039.87528628,40722391.25855029,0.0,790000.0,15000000.0,40000000.0,380000000.0
1,4803.0,1175.0,"[{""id"": 18, ""name"": ""Drama""}]",370.0,,,,,,,
2,1712.0,1691.0,http://www.missionimpossible.com/,4.0,,,,,,,
3,4803.0,,,,57165.484280657925,88694.61403331814,5.0,9014.5,14629.0,58610.5,459488.0
4,4803.0,4222.0,[],412.0,,,,,,,
5,4803.0,37.0,en,4505.0,,,,,,,
6,4803.0,4801.0,Out of the Blue,2.0,,,,,,,
7,4800.0,4800.0,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",1.0,,,,,,,
8,4803.0,,,,21.492300588174057,31.81664974953777,0.0,4.66807,12.921594,28.3135045,875.581305
9,4803.0,3697.0,[],351.0,,,,,,,
10,4803.0,469.0,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2977.0,,,,,,,
11,4802.0,3280.0,2006-01-01,10.0,,,,,,,
12,4803.0,,,,82260638.65167603,162857100.94282982,0.0,0.0,19170001.0,92917187.0,2787965087.0
13,4801.0,,,,106.87585919600085,22.611934588844232,0.0,94.0,103.0,118.0,338.0
14,4803.0,544.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",3171.0,,,,,,,
15,4803.0,3.0,Released,4795.0,,,,,,,
16,3959.0,3944.0,Based on a true story.,3.0,,,,,,,
17,4803.0,4800.0,The Host,2.0,,,,,,,
18,4803.0,,,,6.092171559442016,1.1946121628478923,0.0,5.6,6.2,6.8,10.0
19,4803.0,,,,690.2179887570269,1234.5858907715426,0.0,54.0,235.0,737.0,13752.0
20,4803.0,4800.0,The Host,2.0,,,,,,,
21,4803.0,4761.0,[],43.0,,,,,,,
22,4803.0,4776.0,[],28.0,,,,,,,
